primary_key,symbol,date,sentiment_score,stock_rec,total_rec
Salesforce_2023-09-22,CRM,2023-09-22,neutral,Sell,Sell
Salesforce_2023-09-25,CRM,2023-09-25,positive,Sell,Hold
Salesforce_2023-09-26,CRM,2023-09-26,positive,Buy,Strong Buy
Salesforce_2023-09-27,CRM,2023-09-27,positive,Sell,Hold
Salesforce_2023-09-28,CRM,2023-09-28,positive,Sell,Hold
Salesforce_2023-09-29,CRM,2023-09-29,positive,Buy,Strong Buy
Cisco_2023-09-01,CSCO,2023-09-01,positive,Buy,Strong Buy
Cisco_2023-09-05,CSCO,2023-09-05,positive,Sell,Hold
Cisco_2023-09-06,CSCO,2023-09-06,positive,Buy,Strong Buy
Cisco_2023-09-07,CSCO,2023-09-07,neutral,Buy,Buy
Cisco_2023-09-08,CSCO,2023-09-08,positive,Sell,Hold
Cisco_2023-09-11,CSCO,2023-09-11,positive,Sell,Hold
Cisco_2023-09-12,CSCO,2023-09-12,positive,Buy,Strong Buy
Cisco_2023-09-13,CSCO,2023-09-13,neutral,Sell,Sell
Cisco_2023-09-14,CSCO,2023-09-14,positive,Sell,Hold
Cisco_2023-09-15,CSCO,2023-09-15,positive,Buy,Strong Buy
Cisco_2023-09-18,CSCO,2023-09-18,positive,Sell,Hold
Cisco_2023-09-19,CSCO,2023-09-19,neutral,Buy,Buy
Cisco_2023-09-20,CSCO,2023-09-20,positive,Buy,Strong Buy
Cisco_2023-09-21,CSCO,2023-09-21,positive,Buy,Strong Buy
Cisco_2023-09-22,CSCO,2023-09-22,positive,Sell,Hold
Cisco_2023-09-25,CSCO,2023-09-25,neutral,Sell,Sell
Cisco_2023-09-26,CSCO,2023-09-26,positive,Buy,Strong Buy
Cisco_2023-09-27,CSCO,2023-09-27,negative,Sell,Strong Sell
Cisco_2023-09-28,CSCO,2023-09-28,positive,Buy,Strong Buy
Cisco_2023-09-29,CSCO,2023-09-29,neutral,Sell,Sell
Chevron_2023-09-01,CVX,2023-09-01,neutral,Buy,Buy
Chevron_2023-09-05,CVX,2023-09-05,positive,Buy,Strong Buy
Chevron_2023-09-06,CVX,2023-09-06,neutral,Sell,Sell
Chevron_2023-09-07,CVX,2023-09-07,neutral,Sell,Sell
Chevron_2023-09-08,CVX,2023-09-08,neutral,Sell,Sell
Chevron_2023-09-11,CVX,2023-09-11,positive,Sell,Hold
Chevron_2023-09-12,CVX,2023-09-12,positive,Sell,Hold
Chevron_2023-09-13,CVX,2023-09-13,positive,Sell,Hold
Chevron_2023-09-14,CVX,2023-09-14,positive,Sell,Hold
Chevron_2023-09-15,CVX,2023-09-15,neutral,Buy,Buy
Chevron_2023-09-18,CVX,2023-09-18,positive,Sell,Hold
Chevron_2023-09-19,CVX,2023-09-19,neutral,Buy,Buy
Chevron_2023-09-20,CVX,2023-09-20,positive,Buy,Strong Buy
Chevron_2023-09-21,CVX,2023-09-21,neutral,Buy,Buy
Chevron_2023-09-22,CVX,2023-09-22,neutral,Sell,Sell
Chevron_2023-09-25,CVX,2023-09-25,positive,Sell,Hold
