content:SentimentScore,,,
sentiment_score_company,sentiment_score_date,sentiment_score_score,sentiment_score_recommendation
3M,6/4/2022,-0.034482759,Hold
3M,6/5/2022,-0.156626506,Strong Sell
3M,6/6/2022,-0.087378641,Sell
3M,6/7/2022,-0.055045872,Sell
3M,6/8/2022,0.056074766,Buy
3M,6/9/2022,0,Hold
3M,6/10/2022,0.11627907,Buy
3M,6/11/2022,0.078651685,Buy
3M,6/12/2022,-0.114285714,Sell
3M,6/13/2022,-0.079545455,Sell
3M,6/14/2022,-0.070588235,Sell
3M,6/15/2022,-0.010638298,Hold
3M,6/16/2022,-0.00952381,Hold
3M,6/17/2022,0.023529412,Hold
3M,6/18/2022,-0.139240506,Sell
3M,6/19/2022,-0.053763441,Sell
3M,6/20/2022,-0.024691358,Hold
3M,6/21/2022,0.088607595,Buy
3M,6/22/2022,0.104651163,Buy
3M,6/23/2022,-0.040816327,Hold
3M,6/24/2022,0,Hold
3M,6/25/2022,0.076086957,Buy
3M,6/26/2022,0.14953271,Buy
3M,6/27/2022,0.097826087,Buy
3M,6/28/2022,0.197530864,Strong Buy
3M,6/29/2022,0.060344828,Buy
3M,6/30/2022,0.037037037,Hold
3M,7/1/2022,0.119047619,Buy
3M,7/2/2022,0.071428571,Buy
3M,7/3/2022,-0.054945055,Sell
3M,7/4/2022,-0.146067416,Sell
3M,7/5/2022,0,Hold
3M,7/6/2022,0,Hold
3M,7/7/2022,0.047619048,Hold
3M,7/8/2022,-0.098901099,Sell
3M,7/9/2022,0.072916667,Buy
3M,7/10/2022,0.053333333,Buy
3M,7/11/2022,-0.060240964,Sell
3M,7/12/2022,-0.101123596,Sell
3M,7/13/2022,0.040816327,Hold
3M,7/14/2022,0.134146341,Buy
3M,7/15/2022,-0.130434783,Sell
3M,7/16/2022,0.178571429,Strong Buy
3M,7/17/2022,-0.03030303,Hold
3M,7/18/2022,-0.010526316,Hold
3M,7/19/2022,-0.084337349,Sell
3M,7/20/2022,0.055555556,Buy
3M,7/21/2022,0.055555556,Buy
3M,7/22/2022,0.020408163,Hold
3M,7/23/2022,-0.25,Strong Sell
3M,7/24/2022,0.011111111,Hold
3M,7/25/2022,0.026666667,Hold
3M,7/26/2022,0.020618557,Hold
3M,7/27/2022,-0.048076923,Hold
3M,7/28/2022,-0.08,Sell
3M,7/29/2022,0.01010101,Hold
3M,7/30/2022,-0.115384615,Sell
3M,7/31/2022,0.175824176,Strong Buy
3M,8/1/2022,-0.164948454,Strong Sell
3M,8/2/2022,0.090909091,Buy
3M,8/3/2022,0.045454545,Hold
3M,8/4/2022,0.088607595,Buy
3M,8/5/2022,0.072164948,Buy
3M,8/6/2022,-0.074468085,Sell
3M,8/7/2022,0.078431373,Buy
3M,8/8/2022,0.012987013,Hold
3M,8/9/2022,-0.085714286,Sell
3M,8/10/2022,0,Hold
3M,8/11/2022,-0.070588235,Sell
3M,8/12/2022,0.148148148,Buy
3M,8/13/2022,0.137254902,Buy
